name,position,college,original_rank,scout_grade,ml_prediction,ppg,rpg,apg,ml_rank,ml_gen_probability,final_rank,final_gen_probability,final_grade,confidence_low,confidence_high
Cooper Flagg,PF,Duke,1,A+,0.9185000000000004,19.2,7.5,4.2,1,0.95,1,0.98,Elite,0.83,1.0
Dylan Harper,PG/SG,Rutgers,2,A+,0.9360999999999992,19.4,4.6,4.0,2,0.9360999999999992,2,0.98,Elite,0.83,1.0
Ace Bailey,SF,Rutgers,3,A,0.8826214285714299,17.6,7.2,1.3,3,0.8826214285714299,3,0.98,Elite,0.83,1.0
Tre Johnson,SG,Texas,5,A-,0.8580999999999994,19.9,3.1,2.7,4,0.8580999999999994,4,0.8580999999999994,Elite,0.7080999999999994,1.0
Jeremiah Fears,PG,Oklahoma,6,A-,0.8364666666666665,17.1,4.1,4.1,5,0.8364666666666665,5,0.8364666666666665,Elite,0.6864666666666664,0.9864666666666665
VJ Edgecombe,SG/SF,Baylor,4,A-,0.806391666666667,15.0,5.6,3.2,6,0.806391666666667,6,0.806391666666667,Good,0.6563916666666669,0.956391666666667
Noa Essengue,PF,Ratiopharm Ulm,8,B+,0.7535600000000007,9.7,4.5,1.1,7,0.7535600000000007,7,0.7535600000000007,Good,0.6035600000000007,0.9035600000000007
Kasparas Jakucionis,PG/SG,Illinois,10,B+,0.7508666666666666,15.0,5.7,4.7,8,0.7508666666666666,8,0.7508666666666666,Good,0.6008666666666665,0.9008666666666666
Kon Knueppel,SF,Duke,9,B+,0.7479799999999999,14.4,4.0,2.7,9,0.7479799999999999,9,0.7479799999999999,Good,0.5979799999999998,0.8979799999999999
Khaman Maluach,C,Duke,7,B+,0.72745,8.6,6.6,0.5,10,0.72745,10,0.72745,Good,0.57745,0.8774500000000001
Collin Murray-Boyles,PF,South Carolina,12,B,0.7111830952380945,16.8,8.3,2.4,11,0.7111830952380945,11,0.7111830952380945,Good,0.5611830952380945,0.8611830952380946
Derik Queen,C,Maryland,13,B,0.6969580952380946,16.5,9.0,1.9,12,0.6969580952380946,12,0.6969580952380946,Good,0.5469580952380946,0.8469580952380946
Asa Newell,PF/C,Georgia,11,B,0.6838830952380954,15.4,6.8,0.9,13,0.6838830952380954,13,0.6838830952380954,Good,0.5338830952380954,0.8338830952380955
Liam McNeeley,SF/PF,UConn,15,B,0.6681299999999989,14.3,6.0,2.3,14,0.6681299999999989,14,0.6681299999999989,Good,0.5181299999999989,0.8181299999999989
Cedric Coward,SF/PF,Washington State,14,B,0.6417033333333328,11.8,6.2,1.9,15,0.6417033333333328,15,0.6417033333333328,Good,0.4917033333333328,0.7917033333333329
Carter Bryant,SF,Arizona,16,B-,0.586241666666667,6.5,4.1,1.0,16,0.586241666666667,16,0.586241666666667,Average,0.43624166666666697,0.736241666666667
Egor Demin,PG/SF,BYU,17,B-,0.5846050000000006,10.6,3.9,5.5,17,0.5846050000000006,17,0.5846050000000006,Average,0.4346050000000006,0.7346050000000006
Will Riley,SF,Illinois,18,B-,0.5809207142857148,12.6,4.1,2.2,18,0.5809207142857148,18,0.5809207142857148,Average,0.43092071428571477,0.7309207142857148
Jase Richardson,SG,Michigan State,19,B-,0.5772873809523813,12.1,3.3,1.9,19,0.5772873809523813,19,0.5772873809523813,Average,0.4272873809523813,0.7272873809523813
Rasheer Fleming,PF,Saint Joseph's,21,B-,0.5616533333333331,10.6,7.1,1.3,20,0.5616533333333331,20,0.5616533333333331,Average,0.4116533333333331,0.7116533333333331
Nique Clifford,SF/PF,Colorado State,20,B-,0.5608257142857144,10.1,5.9,2.4,21,0.5608257142857144,21,0.5608257142857144,Average,0.41082571428571435,0.7108257142857144
